"date","open","high","low","close","volume","adjClose","symbol"
"2013-08-07T00:00:00.000Z",44.7,44.86,44.22,44.57,3299400,42.79,"ABBV"
"2013-08-08T00:00:00.000Z",44.86,45.18,44.61,45.06,2892400,43.26,"ABBV"
"2013-08-09T00:00:00.000Z",44.9,45,44.47,44.71,3290800,42.92,"ABBV"
"2013-08-12T00:00:00.000Z",44.71,45.2,44.39,45.04,3826400,43.24,"ABBV"
"2013-08-13T00:00:00.000Z",45.12,45.18,44.68,44.93,2791800,43.14,"ABBV"
"2013-08-14T00:00:00.000Z",44.85,45.23,44.45,44.58,2990500,42.8,"ABBV"
"2013-08-15T00:00:00.000Z",44.6,44.62,43.13,43.21,4363100,41.48,"ABBV"
"2013-08-16T00:00:00.000Z",42.94,43.14,42.42,43,6093300,41.28,"ABBV"
"2013-08-19T00:00:00.000Z",43.01,43.81,42.95,43.37,3326900,41.64,"ABBV"
"2013-08-20T00:00:00.000Z",43.29,43.48,42.85,42.97,2803000,41.25,"ABBV"
"2013-08-21T00:00:00.000Z",42.82,42.88,42.25,42.31,4118800,40.62,"ABBV"
"2013-08-22T00:00:00.000Z",42.4,43.1,42.29,42.92,4077700,41.21,"ABBV"
"2013-08-23T00:00:00.000Z",43.01,43.5,42.85,43.43,2738100,41.7,"ABBV"
"2013-08-26T00:00:00.000Z",43.43,43.74,43.19,43.45,3493400,41.71,"ABBV"
"2013-08-27T00:00:00.000Z",43.02,43.09,42.6,42.63,4473000,40.93,"ABBV"
"2013-08-28T00:00:00.000Z",42.53,42.81,42.35,42.56,3009700,40.86,"ABBV"
"2013-08-29T00:00:00.000Z",42.32,43.09,42.26,42.62,2788900,40.92,"ABBV"
"2013-08-30T00:00:00.000Z",42.76,43.03,42.3,42.61,3170700,40.91,"ABBV"
"2013-09-03T00:00:00.000Z",43,43.28,42.31,42.59,2925600,40.89,"ABBV"
"2013-09-04T00:00:00.000Z",42.6,43.14,42.59,43.13,3190700,41.41,"ABBV"
"2013-09-05T00:00:00.000Z",43.03,43.66,43,43.51,3355500,41.77,"ABBV"
"2013-09-06T00:00:00.000Z",43.53,44.35,42.89,43.89,3992200,42.14,"ABBV"
"2013-09-09T00:00:00.000Z",43.88,44.44,43.5,44.43,3287500,42.66,"ABBV"
"2013-09-10T00:00:00.000Z",44.58,44.81,44.1,44.78,4282300,42.99,"ABBV"
"2013-09-11T00:00:00.000Z",44.81,44.97,44.39,44.95,3441700,43.15,"ABBV"
"2013-09-12T00:00:00.000Z",44.84,44.95,44.5,44.7,2597900,42.91,"ABBV"
"2013-09-13T00:00:00.000Z",44.71,44.89,44.43,44.89,2273500,43.1,"ABBV"
"2013-09-16T00:00:00.000Z",45.32,45.95,45.19,45.82,3531700,43.99,"ABBV"
"2013-09-17T00:00:00.000Z",45.92,47.7,45.86,47.6,7293800,45.7,"ABBV"
"2013-09-18T00:00:00.000Z",47.19,48.42,46.88,47.92,6689400,46.01,"ABBV"
"2013-09-19T00:00:00.000Z",48.21,48.23,47.31,47.4,5326500,45.51,"ABBV"
"2013-09-20T00:00:00.000Z",47.44,48,47.33,47.84,10495300,45.93,"ABBV"
"2013-09-23T00:00:00.000Z",47.56,47.56,46.93,47.1,3179500,45.22,"ABBV"
"2013-09-24T00:00:00.000Z",46.95,46.95,45.94,45.98,7162700,44.14,"ABBV"
"2013-09-25T00:00:00.000Z",46.09,46.16,45.02,45.33,4571900,43.52,"ABBV"
"2013-09-26T00:00:00.000Z",45.33,45.62,44.81,45,5033900,43.2,"ABBV"
"2013-09-27T00:00:00.000Z",44.87,44.9,44.02,44.33,6617300,42.56,"ABBV"
"2013-09-30T00:00:00.000Z",44.52,44.95,44.03,44.73,5818400,42.94,"ABBV"
"2013-10-01T00:00:00.000Z",44.81,45.9,44.81,45.8,4159700,43.97,"ABBV"
"2013-10-02T00:00:00.000Z",45.34,45.97,45.12,45.95,4056800,44.11,"ABBV"
"2013-10-03T00:00:00.000Z",45.6,46.34,45.1,46.01,7020800,44.17,"ABBV"
"2013-10-04T00:00:00.000Z",46.18,46.88,46,46.8,4141400,44.93,"ABBV"
"2013-10-07T00:00:00.000Z",46.12,46.98,46.09,46.09,4703700,44.25,"ABBV"
"2013-10-08T00:00:00.000Z",46.29,46.32,44.39,44.52,7091500,42.74,"ABBV"
"2013-10-09T00:00:00.000Z",44.72,45.31,44.32,44.81,5113000,43.02,"ABBV"
"2013-10-10T00:00:00.000Z",45.1,45.68,44.51,45.68,3967500,44.25,"ABBV"
"2013-10-11T00:00:00.000Z",45.7,45.7,44.96,45.65,2985700,44.22,"ABBV"
"2013-10-14T00:00:00.000Z",45.21,46.45,45.07,46.33,3377300,44.88,"ABBV"
"2013-10-15T00:00:00.000Z",46.05,46.38,45.75,46.08,3533300,44.64,"ABBV"
"2013-10-16T00:00:00.000Z",46.31,47.27,46.2,47.06,4399900,45.59,"ABBV"
"2013-10-17T00:00:00.000Z",46.95,48.32,46.95,48.17,7242400,46.66,"ABBV"
"2013-10-18T00:00:00.000Z",48.38,48.95,47.77,48.33,9212900,46.82,"ABBV"
"2013-10-21T00:00:00.000Z",48.08,48.55,47.76,48.35,4713200,46.84,"ABBV"
"2013-10-22T00:00:00.000Z",48.39,49.31,48.11,49,6937500,47.47,"ABBV"
"2013-10-23T00:00:00.000Z",48.76,48.86,48.28,48.33,4130300,46.82,"ABBV"
"2013-10-24T00:00:00.000Z",48.63,48.98,47.74,47.93,5077900,46.43,"ABBV"
"2013-10-25T00:00:00.000Z",49.1,49.83,48.56,49.3,6956800,47.76,"ABBV"
"2013-10-28T00:00:00.000Z",49.13,49.97,48.97,49.42,5555000,47.87,"ABBV"
"2013-10-29T00:00:00.000Z",49.48,50.2,49.48,49.79,5022900,48.23,"ABBV"
"2013-10-30T00:00:00.000Z",49.57,49.57,48.72,48.8,4011600,47.27,"ABBV"
"2013-10-31T00:00:00.000Z",48.68,49,48.44,48.45,4563700,46.93,"ABBV"
"2013-11-01T00:00:00.000Z",48.64,49.33,48.5,48.96,3866900,47.43,"ABBV"
"2013-11-04T00:00:00.000Z",49.19,49.19,48,48.76,4095600,47.23,"ABBV"
"2013-11-05T00:00:00.000Z",48.59,48.76,48.03,48.17,4095400,46.66,"ABBV"
"2013-11-06T00:00:00.000Z",48.5,48.74,48,48.05,4308100,46.55,"ABBV"
"2013-11-07T00:00:00.000Z",48.17,48.36,47.18,47.24,4444900,45.76,"ABBV"
"2013-11-08T00:00:00.000Z",47.13,48.1,46.83,48.03,5190900,46.53,"ABBV"
"2013-11-11T00:00:00.000Z",48.23,48.67,48.19,48.57,2282900,47.05,"ABBV"
"2013-11-12T00:00:00.000Z",48.45,48.48,47.28,47.48,5351100,45.99,"ABBV"
"2013-11-13T00:00:00.000Z",47.36,47.93,47.29,47.85,3745100,46.35,"ABBV"
"2013-11-14T00:00:00.000Z",47.99,48.47,47.69,48.04,3411800,46.54,"ABBV"
"2013-11-15T00:00:00.000Z",48.03,48.75,48,48.44,6257100,46.92,"ABBV"
"2013-11-18T00:00:00.000Z",48.89,49.96,48.73,48.87,8585700,47.34,"ABBV"
"2013-11-19T00:00:00.000Z",48.73,49,48.37,48.46,4050700,46.94,"ABBV"
"2013-11-20T00:00:00.000Z",48.42,48.54,47.83,47.95,3120300,46.45,"ABBV"
"2013-11-21T00:00:00.000Z",48.28,48.67,47.99,48.57,4459800,47.05,"ABBV"
"2013-11-22T00:00:00.000Z",48.65,49.14,48.57,48.94,5810100,47.41,"ABBV"
"2013-11-25T00:00:00.000Z",49,49.28,48.32,48.41,3343200,46.9,"ABBV"
"2013-11-26T00:00:00.000Z",48.38,49.18,48.31,48.6,4732300,47.08,"ABBV"
"2013-11-27T00:00:00.000Z",48.83,48.95,48.24,48.25,3414900,46.74,"ABBV"
"2013-11-29T00:00:00.000Z",48.43,48.93,48.07,48.45,4044300,46.93,"ABBV"
"2013-12-02T00:00:00.000Z",48.49,48.68,48.02,48.39,4321900,46.88,"ABBV"
"2013-12-03T00:00:00.000Z",49.13,50.26,48.97,49.97,9480100,48.41,"ABBV"
"2013-12-04T00:00:00.000Z",49.75,50.29,49.3,49.67,5309200,48.12,"ABBV"
"2013-12-05T00:00:00.000Z",49.42,50.07,49.05,49.76,5449100,48.2,"ABBV"
"2013-12-06T00:00:00.000Z",50.17,51.5,50.05,51.35,7285800,49.74,"ABBV"
"2013-12-09T00:00:00.000Z",51.45,51.81,50.77,51.21,5470800,49.61,"ABBV"
"2013-12-10T00:00:00.000Z",51.25,54.13,50.72,52.14,14906900,50.51,"ABBV"
"2013-12-11T00:00:00.000Z",52.67,53.25,52.02,52.67,10775500,51.02,"ABBV"
"2013-12-12T00:00:00.000Z",52.56,52.62,51.8,52.39,7766400,50.75,"ABBV"
